Category,Value
Axe Real Found,False
Axe Drawing Found,False
Screwdriver Found,False
Pistol Found,False
Knife Found,False
Sledgehammer Found,False
Clues Triggered,0
Clues Found by Player,0
Alternative Notches Played,0
Time Spent in Bathroom,0
Time Spent in Main Porch,0
Time Spent in Pantry,0
Time Spent in Kitchen,0
Time Spent in Children's Room,0
Time Spent in Kitchen Porch,0
Time Spent in Living Room,6
Time Spent in Basement,0
Time Spent in Upstairs Corridor,0
Time Spent in TV Room,0
Time Spent in Stairs (1st Floor),0
Time Spent in Master Bedroom,0
Time Spent in Stairs (Basement),0
Time Spent in Bathroom (Upstairs),0
